estrategia,ventana,n_all,n_global,n_perpar,pf_all,pf_global,pf_perpar,win_all,win_global,win_perpar,profit_all,profit_global,profit_perpar,wins_all,losses_all,wins_global,losses_global,wins_perpar,losses_perpar
AtrSlShort,20210101-20211231,538,315,250,0.627,0.549,0.719,21.9,21.3,22.4,-708.67,-561.31,-252.77,1193.31,1901.99,684.05,1245.35,645.43,898.19
AtrSlShort,20220101-20221231,488,295,292,1.544,1.334,1.526,29.9,30.2,31.2,540.24,215.83,324.77,1533.07,992.82,861.12,645.29,941.94,617.17
AtrSlShort,20230101-20231231,492,203,246,0.619,0.624,0.783,21.5,23.6,22.8,-320.36,-117.66,-81.39,520.14,840.5,195.46,313.11,293.34,374.74
AtrSlShort,20240101-20241231,463,184,257,1.019,0.871,1.075,26.6,27.7,25.7,16.04,-43.45,35.08,872.67,856.62,293.33,336.77,502.48,467.4
AtrSlShort,20250101-20260601,781,407,454,1.086,1.009,1.05,23.8,25.8,24.0,125.5,7.38,45.96,1582.07,1456.57,785.81,778.44,973.38,927.42
PartialtpShort,20210101-20211231,486,278,198,0.708,0.655,0.923,21.0,20.9,23.2,-444.06,-301.94,-45.56,1077.94,1522.0,572.06,874.0,546.76,592.32
PartialtpShort,20220101-20221231,400,246,243,1.672,1.521,1.749,36.2,36.2,37.9,614.01,319.96,416.02,1527.76,913.75,934.01,614.05,971.6,555.58
PartialtpShort,20230101-20231231,384,156,187,0.671,0.895,0.913,28.9,34.0,31.6,-265.61,-28.39,-29.91,541.99,807.59,241.18,269.58,312.92,342.83
PartialtpShort,20240101-20241231,372,144,198,1.107,0.994,1.29,32.0,34.0,33.3,83.66,-1.52,114.76,863.8,780.14,271.98,273.5,509.85,395.1
PartialtpShort,20250101-20260601,621,319,358,0.978,1.073,1.009,27.5,29.8,28.2,-31.49,52.29,8.2,1399.88,1431.37,770.48,718.19,912.81,904.61
RotationShort,20210101-20211231,346,209,163,0.636,0.601,0.705,28.3,28.7,30.7,-531.28,-355.87,-205.47,927.67,1458.95,537.08,892.95,490.83,696.3
RotationShort,20220101-20221231,351,216,223,1.704,1.537,1.737,40.5,40.3,40.8,600.74,292.89,399.45,1454.24,853.5,837.88,544.99,941.79,542.34
RotationShort,20230101-20231231,341,155,183,0.665,0.844,0.928,29.0,32.9,33.3,-252.36,-43.57,-24.01,500.65,753.01,236.08,279.65,308.45,332.46
RotationShort,20240101-20241231,319,129,183,1.029,0.896,1.202,35.4,37.2,37.2,23.55,-29.68,89.42,825.61,802.06,254.41,284.09,531.68,442.26
RotationShort,20250101-20260601,511,279,312,1.029,1.078,1.052,32.9,36.2,33.0,37.31,54.56,45.21,1338.32,1301.01,757.58,703.01,906.8,861.58
VolBreakoutShort,20210101-20211231,87,74,72,0.543,0.589,0.521,34.5,37.8,33.3,-184.39,-131.11,-159.6,219.23,403.63,187.6,318.7,173.87,333.47
VolBreakoutShort,20220101-20221231,125,113,110,1.473,1.444,1.423,50.4,52.2,48.2,176.84,146.95,145.87,550.42,373.58,478.24,331.3,490.55,344.68
VolBreakoutShort,20230101-20231231,91,80,73,1.046,1.161,1.219,41.8,40.0,43.8,7.32,22.5,28.45,166.42,159.1,161.93,139.43,158.36,129.91
VolBreakoutShort,20240101-20241231,96,71,81,0.873,0.828,0.891,49.0,50.7,49.4,-34.84,-35.87,-26.54,239.04,273.89,172.51,208.39,217.5,244.04
VolBreakoutShort,20250101-20260601,164,145,138,0.757,0.759,0.779,41.5,40.7,42.8,-138.46,-126.02,-110.73,431.71,570.17,396.62,522.64,390.35,501.08
