estrategia,ventana,n_all,n_global,n_perpar,pf_all,pf_global,pf_perpar,win_all,win_global,win_perpar,profit_all,profit_global,profit_perpar,wins_all,losses_all,wins_global,losses_global,wins_perpar,losses_perpar
AtrSlLong,20210101-20211231,164,90,90,0.906,0.894,0.953,20.1,17.8,18.9,-69.66,-39.43,-18.48,669.34,739.01,332.58,372.01,377.24,395.72
AtrSlLong,20220101-20221231,401,207,168,0.316,0.377,0.219,12.5,14.0,14.3,-1175.78,-516.86,-524.4,543.01,1718.79,313.14,830.0,147.47,671.87
AtrSlLong,20230101-20231231,529,403,293,0.677,0.674,0.753,15.1,15.4,17.4,-577.9,-459.35,-260.2,1211.68,1789.58,951.42,1410.78,793.9,1054.1
AtrSlLong,20240101-20241231,479,301,255,0.809,1.057,1.129,17.1,19.6,20.4,-339.55,63.89,124.36,1440.06,1779.61,1181.16,1117.27,1089.68,965.32
AtrSlLong,20250101-20260601,564,320,265,0.326,0.431,0.451,13.5,14.4,14.3,-1532.2,-705.9,-594.1,740.5,2272.7,535.55,1241.45,487.68,1081.79
PartialtpLong,20210101-20211231,156,83,84,0.861,0.89,0.937,18.6,18.1,19.0,-102.94,-39.81,-23.89,635.92,738.86,321.05,360.86,356.0,379.89
PartialtpLong,20220101-20221231,337,171,149,0.33,0.245,0.235,14.2,14.6,16.1,-1087.5,-601.67,-485.87,535.25,1622.75,195.11,796.78,149.18,635.05
PartialtpLong,20230101-20231231,364,282,211,0.892,0.907,0.933,20.3,21.3,20.9,-143.39,-99.82,-54.67,1190.24,1333.64,973.89,1073.71,755.77,810.44
PartialtpLong,20240101-20241231,383,243,219,0.941,1.196,1.242,20.4,22.2,21.9,-88.33,185.34,207.0,1410.83,1499.16,1131.31,945.98,1063.31,856.31
PartialtpLong,20250101-20260601,436,246,216,0.352,0.431,0.466,16.3,17.1,17.6,-1303.52,-658.83,-561.81,707.42,2010.94,498.49,1157.32,491.23,1053.03
RotationLong,20210101-20211231,119,67,68,1.006,1.032,0.949,26.1,28.4,25.0,4.05,10.71,-20.28,653.54,649.49,347.31,336.6,373.58,393.86
RotationLong,20220101-20221231,274,151,140,0.383,0.348,0.288,17.9,17.9,20.0,-829.46,-476.23,-434.62,514.41,1343.87,253.76,730.0,175.61,610.23
RotationLong,20230101-20231231,305,239,188,1.054,1.214,1.209,24.9,27.2,25.5,59.74,184.52,145.3,1156.68,1096.94,1048.65,864.14,839.84,694.55
RotationLong,20240101-20241231,315,205,187,1.064,1.35,1.598,24.8,27.8,29.9,84.58,296.1,454.67,1400.51,1315.92,1140.99,844.89,1215.19,760.52
RotationLong,20250101-20260601,365,218,199,0.384,0.434,0.453,18.6,17.9,18.1,-1112.2,-631.78,-582.94,692.87,1805.07,483.56,1115.34,482.0,1064.94
VolBreakoutLong,20210101-20211231,33,27,30,2.364,2.859,2.426,45.5,48.1,46.7,225.86,234.08,218.8,391.4,165.54,360.0,125.92,372.23,153.43
VolBreakoutLong,20220101-20221231,77,65,72,0.455,0.538,0.497,18.2,20.0,19.4,-259.07,-176.16,-218.97,216.54,475.61,205.04,381.2,216.54,435.51
VolBreakoutLong,20230101-20231231,133,124,121,1.526,1.684,1.612,32.3,33.9,32.2,258.67,302.03,280.05,750.45,491.78,743.57,441.54,737.77,457.72
VolBreakoutLong,20240101-20241231,126,114,114,1.449,1.596,1.652,31.0,32.5,34.2,272.22,321.31,346.68,878.46,606.24,860.14,538.83,878.46,531.78
VolBreakoutLong,20250101-20260601,117,96,101,0.597,0.774,0.69,31.6,36.5,33.7,-236.48,-97.3,-153.12,349.77,586.24,334.04,431.33,340.07,493.19
